"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Utah,Weber,Democrat,231236,401.4,6578
Louisiana,St. Landry,Democrat,83384,90.3,5790
Iowa,Clinton,Democrat,49116,70.7,2399
Iowa,Van Buren,Democrat,7570,15.6,199
Arkansas,Randolph,Democrat,17969,27.6,1018
Wisconsin,Jefferson,Democrat,83686,150.4,12308
Pennsylvania,Northumberland,Democrat,94528,206.2,6983
Ohio,Fairfield,Democrat,146156,289.8,11482
Texas,Marion,Democrat,10546,27.7,544
Wisconsin,Vernon,Democrat,29773,37.6,5410
Utah,San Juan,Democrat,14746,1.9,125
Alabama,Barbour,Democrat,27457,31.0,2789
Indiana,Pulaski,Democrat,13402,30.9,824
Ohio,Marion,Democrat,66501,164.7,4494
Texas,Parmer,Democrat,10269,11.7,108
Utah,Davis,Democrat,306479,1025.8,4310
Texas,Lynn,Democrat,5915,6.6,24
Nebraska,Nemaha,Democrat,7248,17.8,74
South Dakota,Oglala Lakota,Democrat,13586,6.5,999
Kentucky,Harlan,Democrat,29278,62.9,1543
Illinois,Crawford,Democrat,19817,44.7,1192
Illinois,Williamson,Democrat,66357,157.9,6880
Kentucky,Menifee,Democrat,6306,31.0,634
Mississippi,Covington,Democrat,19568,47.3,1520
Florida,St. Johns,Democrat,190039,316.4,16687
Michigan,Schoolcraft,Democrat,8485,7.2,657
Kentucky,Clark,Democrat,35613,141.1,3698
Texas,Wise,Democrat,59127,65.4,1307
Virginia,Radford,Democrat,16408,1662.1,1127
Louisiana,West Carroll,Democrat,11604,32.3,281
Pennsylvania,Bradford,Democrat,62622,54.6,3553
Tennessee,Houston,Democrat,8426,42.1,461
Pennsylvania,Union,Democrat,44947,142.2,3067
Indiana,Clay,Democrat,26890,75.2,1980
Indiana,Floyd,Democrat,74578,504.1,8692
Alabama,Cleburne,Democrat,14972,26.7,293
Iowa,Wayne,Democrat,6403,12.2,200
Texas,Brooks,Democrat,7223,7.7,1965
Texas,Borden,Democrat,641,0.7,5
Texas,Hemphill,Democrat,3807,4.2,23
New York,Oswego,Democrat,122109,128.3,5490
Michigan,Isabella,Democrat,70311,122.8,6056
Virginia,Lynchburg,Democrat,75568,1538.2,5024
Nebraska,Wheeler,Democrat,818,1.4,6
Mississippi,Perry,Democrat,12250,18.9,478
Mississippi,Clarke,Democrat,16732,24.2,1195
Wisconsin,Sawyer,Democrat,16557,13.2,2627
Montana,Lincoln,Democrat,19687,5.4,1514
Virginia,Accomack,Democrat,33164,73.8,2471
Ohio,Licking,Democrat,166492,243.9,12634
Missouri,Carter,Democrat,6265,12.3,280
California,Los Angeles,Democrat,9818605,2419.6,1025158
Georgia,Seminole,Democrat,8729,37.1,551
New York,Washington,Democrat,63216,76.1,3254
Missouri,Douglas,Democrat,13684,16.8,652
Ohio,Gallia,Democrat,30934,66.3,1911
North Carolina,Scotland,Democrat,36157,113.4,3813
Missouri,Shelby,Democrat,6373,12.7,440
